data,fold,model,start_train,finish_train,p@5,p@10,p@20,r@5,r@10,r@20,g@5,g@10,g@20
ebnerd_demo,1,FairGANModel,2025-01-01 14:29:16.936500,2025-01-01 14:41:13.862487,0.07849293563579278,0.07229199372056515,0.06283359497645212,0.01979377614592675,0.035142657953642596,0.059482845557985956,0.07933846892381076,0.07813943566141139,0.0786218502862492
ebnerd_demo,2,FairGANModel,2025-01-01 14:41:20.601533,2025-01-01 14:53:26.766077,0.07849293563579278,0.06985871271585557,0.06350078492935636,0.0213546274391156,0.03328840772759459,0.05747894167239168,0.08213310476056651,0.07802896180533477,0.08023456867667476
ebnerd_demo,3,FairGANModel,2025-01-01 14:53:33.522830,2025-01-01 15:05:39.208015,0.08398744113029827,0.07715855572998431,0.0673076923076923,0.020251356450941338,0.03642917790760761,0.06130315082830192,0.08766709440348033,0.08484558730959132,0.08530177884115352
ebnerd_demo,4,FairGANModel,2025-01-01 15:05:45.869617,2025-01-01 15:17:43.729124,0.07849293563579278,0.07315541601255887,0.06385400313971742,0.021364722136452463,0.03753271912458668,0.059575622036408885,0.08045659913840456,0.07983685653267938,0.08060231613647409
ebnerd_demo,5,FairGANModel,2025-01-01 15:17:50.490464,2025-01-01 15:29:50.442532,0.0805337519623234,0.07025117739403454,0.06318681318681318,0.0192973667790879,0.03294489376872808,0.058071949940318425,0.08572079877638415,0.07945653355713597,0.08056080470275657
ebnerd_demo,1,DiffModel,2025-01-01 15:29:57.119466,2025-01-01 15:32:28.471884,0.03861852433281005,0.03665620094191523,0.03222135007849293,0.005822555751952583,0.0112330946554989,0.01900040132659005,0.04545100049918978,0.04225358479514271,0.039176472091613304
ebnerd_demo,2,DiffModel,2025-01-01 15:32:46.980800,2025-01-01 15:35:12.634769,0.03751962323390894,0.03971742543171115,0.03618524332810047,0.004955416001960698,0.012641277994326214,0.02197698880385352,0.035361146352029554,0.038089513375972606,0.037999115227626834
ebnerd_demo,3,DiffModel,2025-01-01 15:35:30.958684,2025-01-01 15:37:59.372101,0.030298273155416014,0.033124018838304556,0.03551805337519623,0.005599269236836098,0.011418245440669163,0.02335586226076369,0.032133707087895966,0.03434298450093247,0.03820990508828615
ebnerd_demo,4,DiffModel,2025-01-01 15:38:17.900269,2025-01-01 15:40:50.293441,0.03783359497645212,0.041601255886970175,0.03740188383045526,0.006450334666047374,0.0138655337305666,0.025410770351303832,0.0369051480593231,0.040497779025744585,0.04068871903712367
ebnerd_demo,5,DiffModel,2025-01-01 15:41:08.556841,2025-01-01 15:43:39.730355,0.02841444270015699,0.02841444270015699,0.02923861852433281,0.004180904122230418,0.008730893907502792,0.01874717040708362,0.030463332630673086,0.030139644903366278,0.03209071033311935
